index,id,nickname,title,finishYn,ageGrade,restYn,dateCreated,isNew,averageScore,artist,latest_upload,last_chapter,img_url,intro,genres,categories
207,194,drinkingtogether,대작 (2010),N,0,N,20100416121319,0,9.7887323943662,김용회/이종규,20180831000000,33.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C089270472210001,최고의 막걸리를 두고 펼쳐지는 신명나는 술 대결!,드라마,술/음모/막걸리/스토리
208,1180,voting,국민사형투표,Y,0,N,20150125102748,0,9.78825845713263,정이품/엄세윤,20160619000100,70.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554746500105860001,어느 날 당신에게 도착한 국민사형투표 문자. 당신의 선택은?,스릴러,사형/형사/스마트폰/사회문제/스토리
209,1290,HandmadeEnt,가내수공업 Ent.,Y,0,N,20160504155733,0,9.78779390544096,참치캔/참치캔,20180521000000,95.0,http://t1.daumcdn.net/webtoon/op/13f833e399d4641f65d5df3c13244f40968e09e2,"B급 섹시 아이돌 병풍 멤버, 하영과 너무나도 눈에 띄는 숨은 조력자들의 '하영이 꽃길 걷기 프로젝트!'",순정,아이돌/꽃미남/연애/연예인/스토리
210,861,somelove,애썸,Y,0,N,20120516094142,0,9.78666666666667,김종진/김종진,20120913101337,18.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C30842020C830001,누구나 겪었을 법한 사랑과 소중한 만남에 대한 짧은 이야기,순정,연애/힐링/사랑/인연/스토리
211,1013,mamonde,꽃처럼 산다,Y,0,N,20131009110648,0,9.78601496725912,HUN/박형준/송래현/HUN/박형준/송래현,20140424090332,18.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5547109F044DB90001,20-30대가 폭풍공감할 꽃집에 얽힌 에피소드,드라마,힐링/연애/감동/꽃/스토리
212,863,summerdream,한여름밤의 꿈,Y,0,N,20120524110729,0,9.78581126951799,김용회/김용회,20130110092011,34.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C308700234B20001,"숲, 소년 그리고 한여름의 꿈이 시작되는 순간의 이야기",드라마,힐링/시골/초자연/소년/스토리
213,972,gallbladder,쓸개,Y,0,N,20130609225717,0,9.78511459042432,강형규/강형규,20140414090735,45.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55472ACB0274A60006,어느 날 내게 대단한게 생겼다..바로 순금 370kg!,미스터리,돈/금/조선족/추격전/스토리
214,753,interview,인터뷰,Y,0,N,20110701091104,0,9.78455056179775,루드비코/루드비코,20110923094624,13.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554AFCE30145CC0002,독특한 감각의 소유자 루드비코 작가의 1년만의 복귀작,드라마,소설가/추리/범죄/진실/스토리
215,897,lovemaker,러브메이커,Y,0,N,20120911092307,0,9.7842488418266,정종수/정종수,20131126111738,56.0,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5549E45F0469A70003,"12월, 눈 내리던 그날 밤 나는 큐피트를 만났다. 4회 다음공모전 최우수상작",판타지,연애/큐피트/신화/삼각관계/스토리
216,1408,summertaste,썸머 테이스트,Y,0,N,20171219150710,0,9.78362573099415,북항/북항,20171222100459,10.0,http://t1.daumcdn.net/webtoon/op/09f7a4fca6a6d81fe1ee8242a89d76260410a0b2,여고생 강현지와 농구를 사랑하는 소년 하지. 밝고 활기찬 그들의 고민이 스며든 이야기.,학원,청춘/고등학생/연애/꿈/스토리
