id,nickname,title,finishYn,ageGrade,restYn,dateCreated,isNew,averageScore,artist,latest_upload,last_chapter,img_url,intro,genres,categories
9,nama,남아돌아,Y,0,N,20050106133724,False,9.514018691588785,캐러멜/JJO,20060217134803,92,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554B079102240F0001,'남아돌아'는 젊은 층에게 많은 인기를 누리고 있는 캐러맬 작가의 데뷔작,순정,연애/청춘/백수/솔로/스토리
1434,if2,이프 2,Y,0,N,20180228154320,False,9.513513513513514,김영민/신진우,,,http://t1.daumcdn.net/webtoon/op/90c43e96d1b86a183cbb6a2ddc31235932661023,소년소녀들은 위기에 처한 세상을 구하고 새로운 세계를 시작할 수 있을까?,액션,격투/괴물/재난/청소년/스토리
773,banana,바나나 트위스트,Y,0,N,20110829091929,False,9.508169934640524,김병관/김병관,20111128085649,26,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1C3D1026C8B0001,"없던 가족이 하나, 둘..도대체 몇 명?! 평범한 가족이 만들어내는 비범한 일상시트콤.",드라마,가족/가족/망상/스토리
975,daddy2,아빠는 변태중,A,0,N,20130626094200,False,9.507048984468339,곽인근/곽인근,20140709085754,43,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55494133011B990001,"평범한 회사원이었던 아빠, 그런데 지금은? 다세대 주택에 사는 3세대가 벌이는 시트콤",드라마,가족/아빠/이웃/퇴직/스토리
793,UNDERCITY,언더시티,Y,0,N,20111004144514,False,9.505838967424708,쵸밥/쵸밥,20121031091108,54,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1C7170248780001,"가상현실의 도시, 언더시티에 오신 것을 환영합니다.",판타지,게임/모험/가상현실/능력자/스토리
738,mirror_girl,거울아씨전,Y,0,N,20110525094439,False,9.497765862377122,환상거북/환상거북,20110827083332,27,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554AFE6A0528130001,내가 원하던 여자친구의 모습을 한 거울아씨와의 미스터리한 동거.,판타지,도플갱어/이상형/연애/동거/스토리
15,kommi,돈까스취업,Y,0,N,20051006165823,False,9.494897959183673,노란구미/노란구미,20060225005517,40,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554B226F0245DD0002,행운과 좋은결과를 기원하는 뜻의 '돈까스 취업'. 취업에 고민하는 여러분께 위안이 되길,일상,취업/대학생/만화가/백수/옴니버스
779,koguryo,위나암림,Y,0,N,20110909104307,False,9.494145199063231,오연/오연,20120531091423,43,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1C7C70231950001,실제 있었던 고구려 반란사건과 셰익스피어의 4대 비극인 [맥베드]가 만났다,드라마,역사/수묵화/고전/고려시대/스토리
49,ioa,천사의 섬,Y,0,N,20071230160106,False,9.491525423728813,고리타/고리타,20080929130501,38,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1A8EE027FAE0001,"하염없이 섬에서 표류하는 주인공. 그러던 어느날, 그의 앞에 천사가 나타난다.",코믹,서바이벌/천사/표류/무인도/스토리
788,layersanarchy,레이어즈 아나키,Y,0,N,20110922101448,False,9.486602357984994,글피/글피,20120614102313,39,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554ACB440225720003,"시공을 초월한 그 곳, 레이어를 둘러싼 학원감성액션",판타지,초자연/초능력/시공간초월
21,kangfull26,26년,Y,0,N,20060403002459,False,9.48358904641678,강풀/강풀,20121127094142,36,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/U14A94324CCFD04A35,5.18이라는 민감한 소재를 다루면서 대중적 재미를 놓치지 않아 많은 박수를 받은 작품,드라마,복수/폭력/영화/정치/스토리
1140,impulsebuyer,일단 질러! 질렐루야,N,0,N,20141006091441,False,9.483501979762428,yami /yami ,20180903000100,103,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5548B4280678E10001,야미작가 신작. 소소한 생활지름의 세계로 오라~ ,코믹,쇼핑/생활툰/지름신/돈/에피소드
1270,fairytale,그림형제 잔혹동화,N,0,N,20160222140424,False,9.477604428787116,Crom/Crom,20180828000000,131,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/56CA9784026ACE0001,아름다운 그림형제의 동화 속 이야기들. 그 동화의 잔혹한 비밀이 공개된다!,스릴러,괴담/고전/그림기법/동화/옴니버스
8,babo,바보,Y,0,N,20041101120934,False,9.477324263038549,강풀/강풀,20080214112010,43,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C064C602463E0002,강풀 순정만화 씨즌2-바보. 겨울내내 가슴 속에 따뜻한 사랑과 웃음을 심어주었던 작품,순정,연애/사랑/감동/영화/스토리
85,ufo,미확인거주물체,Y,0,N,20090307095733,False,9.476363636363637,장이/장이,20091006110842,37,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/56248D20037DDC0001,"옆집에 조용히 내려 앉은 미확인물체, 알수없는 존재와의 독특한 동거가 시작된다",스릴러,외계인/취재/동거/스토리
1336,HeavenToHell,헤븐 투 헬,N,19,N,20161215112235,False,9.472919818456884,김종훈/김종훈,20180831000000,80,http://t1.daumcdn.net/webtoon/op/b6d3f2f2a0228768366d59ecba609e15445968be,,,
88,pape,파페포포,Y,0,N,20090331132223,False,9.470899470899472,심승현/심승현,20091005151639,27,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5624825A0224000001,"대한민국을 휩쓴 파페포포 열풍, 만화속세상에서 먼저 만나세요!",순정,연애/감성/힐링/옴니버스
1480,overlord,고등패왕전기,N,0,N,20180531171239,False,9.470061940812112,이충호/이충호,20180831000100,14,http://t1.daumcdn.net/webtoon/op/1cbed438d228735055dfc81e526093d8c0121ca1,‘전설적인 무신’ 항우와 ‘왕따 소년’ 유민의 힘겨운 공생과 투쟁! 그리고 사랑의 이야기!,학원,격투/배틀/연애/일진/스토리
900,famousman,페이머스맨,Y,0,N,20121022094553,False,9.46512069948679,유비/유비,20160828084953,178,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/5549447902259A0001,"뺑뺑이 안경에 존재감 없는 아이 유명인, 그가 무대에 오른다.",드라마,댄스/열정/동아리/청소년/스토리
592,thislike,디스라이크,Y,0,N,20101003084809,False,9.464285714285714,배추도사무도사/배추도사무도사,20101205102512,10,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/554C3DD3065C260004,"민트사탕 맛의 오기와 자존심, 정말 안좋아해? 좋아해?",순정,연애/청춘/스토리
74,nrr1,NR 게임중독  ,Y,0,N,20081202123741,False,9.464285714285714,전상영/전상영,20081202124129,3,http://i1.cartoon.daumcdn.net/svc/image/U03/cartoon/55C1BF1F0357B20001,미친도시 '트레이닝 더 소울' 에서 벌어지는 터프한 해결사들의 과격한 이야기!,액션,파이터/양아치/게임/스토리
