unique_id,title,author,total_score,main_link,image_link,update_date,episode,omnibus,story,daily,comic,fantasy,action,drama,pure,sensibility,thrill,historical,sports,pay,episode_cnt,total_comments,episode_score,like_count,intro
609477,소년들은 무엇을 하고 있을까,컷부,9.41,https://comic.naver.com/webtoon/list.nhn?titleId=609477,https://shared-comic.pstatic.net/thumb/webtoon/609477/thumbnail/title_thumbnail_20140120102230_t83x90.jpg,2014.11.04,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,125,2581191,9.43432,199224,소년들 사이에서 벌어지는 다양한 이야기를 다룹니다.
50422,개편 축하 릴레이 카툰,네이버웹툰작가,9.55,https://comic.naver.com/webtoon/list.nhn?titleId=50422,https://shared-comic.pstatic.net/thumb/webtoon/50422/thumbnail/title_thumbnail_20081030133244_t83x90.gif,2008.11.11,episode,None,None,None,None,None,None,None,None,None,None,None,None,0,15,19501,9.508666666666667,116,"보다 재미있고, 보다 다양한 웹툰의 세계, 네이버 만화가 개편되었습니다.네이버 웹툰 개편을 축하하기 위하여 많은 프로 작가님들이 릴레이 축하 카툰을 선보입니다."
642598,조선왕조실톡,무적핑크,9.88,https://comic.naver.com/webtoon/list.nhn?titleId=642598,https://shared-comic.pstatic.net/thumb/webtoon/642598/thumbnail/title_thumbnail_20160117000448_t83x90.jpg,2018.09.04,episode,None,None,None,comic,None,None,None,None,None,None,historical,None,0,346,682688,9.947225433526,271,"어느 날 메신저로 찾아온, 조선 시대 그분들의 시시콜콜한 이야기.무적핑크 작가 신작!"
92106,와라편의점 the anim...,와라패밀리,9.76,https://comic.naver.com/webtoon/list.nhn?titleId=92106,https://shared-comic.pstatic.net/thumb/webtoon/92106/thumbnail/title_thumbnail_20091105231539_t83x90.jpg,2010.04.02,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,24,149796,9.710833333333332,404097,"우리 동네 편의점도 피해갈 수 없다!!
편의점에서 일어나는 다양한 에피소드. 와라 편의점!! 웹투니메이션 컨텐츠의 시작입니다."
710754,화장 지워주는 남자,이연,9.82,https://comic.naver.com/webtoon/list.nhn?titleId=710754,https://shared-comic.pstatic.net/thumb/webtoon/710754/thumbnail/thumbnail_IMAG10_88e596b9-3712-4ff4-95a7-280b663200ae.jpg,2018.08.30,episode,None,None,None,None,None,None,None,None,None,None,None,None,0,18,58547,9.866666666666667,140003,밋밋한 얼굴의 대학생이 천재 메이크업 아티스트의 뮤즈?!
650304,슈퍼 시크릿,이온,9.98,https://comic.naver.com/webtoon/list.nhn?titleId=650304,https://shared-comic.pstatic.net/thumb/webtoon/650304/thumbnail/title_thumbnail_20150323144620_t83x90.jpg,2018.01.29,episode,None,None,None,None,fantasy,None,None,pure,sensibility,None,None,None,0,144,418844,9.98465277777779,396081,평범한 여대생 은호와 조금 특별한 소꿉친구 견우의 술래잡기. 은호만 모르는 이웃집의 비밀들이 밝혀진다
316912,내 어린고양이와 늙은개,초,9.95,https://comic.naver.com/webtoon/list.nhn?titleId=316912,https://shared-comic.pstatic.net/thumb/webtoon/316912/thumbnail/title_thumbnail_20110404174155_t83x90.jpg,2013.01.19,episode,None,None,daily,None,None,None,None,None,sensibility,None,None,None,1,7,31201,9.902857142857146,14289,"서로의 시점으로 그린,
반려동물과 함께 사는 이야기"
599232,실질객관영화,무적핑크,9.72,https://comic.naver.com/webtoon/list.nhn?titleId=599232,https://shared-comic.pstatic.net/thumb/webtoon/599232/thumbnail/title_thumbnail_20131108182621_t83x90.jpg,2014.05.05,episode,None,None,None,comic,None,None,None,None,None,None,None,None,0,26,181536,9.77,24323,"10층에서 뛰어내렸는데 어떻게 살아있을 수 있지?
정말 히어로는 무조건 이길 수 있을까?
실질적이고 객관적인 시선에서 새로보는 영화이야기"
695321,빙탕후루,장희/주호민,9.98,https://comic.naver.com/webtoon/list.nhn?titleId=695321,https://shared-comic.pstatic.net/thumb/webtoon/695321/thumbnail/thumbnail_IMAG10_ed636544-e826-4b9b-96f2-fce37c9f8e54.jpg,2018.09.03,episode,None,None,None,None,fantasy,None,drama,None,None,None,historical,None,0,72,77545,9.979444444444454,137734," 주호민 작가의 신작! 
잔인하고 무자비한 환상 속 요괴들이 현세를 어지럽히는 중국 송나라
귀안도사와 여연이 팔귀 퇴치의 여정을 떠난다."
81482,놓지마 정신줄,신태훈/나승훈,9.92,https://comic.naver.com/webtoon/list.nhn?titleId=81482,https://shared-comic.pstatic.net/thumb/webtoon/81482/thumbnail/title_thumbnail_20131025191135_t83x90.jpg,2016.07.25,episode,None,None,daily,comic,None,None,None,None,None,None,None,None,0,719,5419562,9.930403337969338,536081,"정신, 정주리 남매와 독특한 주변 인물들의정신줄 놓게 만드는 다양한 에피소드들!
본격 유체이탈 예방 프로젝트 ‘놓지마 정신줄!’"
